Station,Data_Type,Date,Value
GHCND:USW00094789,ADPT,2010-01-01T00:00:00,-7.69
GHCND:USW00094789,ASLP,2010-01-01T00:00:00,1014.7
GHCND:USW00094789,ASTP,2010-01-01T00:00:00,1013.8
GHCND:USW00094789,AWBT,2010-01-01T00:00:00,-2.39
GHCND:USW00094789,AWND,2010-01-01T00:00:00,13.4
GHCND:USW00094789,CDSD,2010-01-01T00:00:00,0.0
GHCND:USW00094789,CLDD,2010-01-01T00:00:00,0.0
GHCND:USW00094789,DP01,2010-01-01T00:00:00,7.0
GHCND:USW00094789,DP10,2010-01-01T00:00:00,2.0
GHCND:USW00094789,DP1X,2010-01-01T00:00:00,0.0
GHCND:USW00094789,DSND,2010-01-01T00:00:00,0.0
GHCND:USW00094789,DSNW,2010-01-01T00:00:00,0.0
GHCND:USW00094789,DT00,2010-01-01T00:00:00,0.0
GHCND:USW00094789,DT32,2010-01-01T00:00:00,25.0
GHCND:USW00094789,DX32,2010-01-01T00:00:00,9.0
GHCND:USW00094789,DX70,2010-01-01T00:00:00,0.0
GHCND:USW00094789,DX90,2010-01-01T00:00:00,0.0
GHCND:USW00094789,DYFG,2010-01-01T00:00:00,8.0
GHCND:USW00094789,DYHF,2010-01-01T00:00:00,1.0
GHCND:USW00094789,DYNT,2010-01-01T00:00:00,20100130.0
GHCND:USW00094789,DYSD,2010-01-01T00:00:00,20100108.0
GHCND:USW00094789,DYSN,2010-01-01T00:00:00,20100128.0
GHCND:USW00094789,ADPT,2010-02-01T00:00:00,-6.25
GHCND:USW00094789,ASLP,2010-02-01T00:00:00,1008.2
GHCND:USW00094789,ASTP,2010-02-01T00:00:00,1007.4
GHCND:USW00094789,AWBT,2010-02-01T00:00:00,-1.75
GHCND:USW00094789,AWND,2010-02-01T00:00:00,14.1
GHCND:USW00094789,CDSD,2010-02-01T00:00:00,0.0
GHCND:USW00094789,CLDD,2010-02-01T00:00:00,0.0
GHCND:USW00094789,DP01,2010-02-01T00:00:00,11.0
GHCND:USW00094789,DP10,2010-02-01T00:00:00,7.0
GHCND:USW00094789,DP1X,2010-02-01T00:00:00,3.0
GHCND:USW00094789,DSND,2010-02-01T00:00:00,17.0
GHCND:USW00094789,DSNW,2010-02-01T00:00:00,5.0
GHCND:USW00094789,DT00,2010-02-01T00:00:00,0.0
GHCND:USW00094789,DT32,2010-02-01T00:00:00,23.0
GHCND:USW00094789,DX32,2010-02-01T00:00:00,1.0
GHCND:USW00094789,DX70,2010-02-01T00:00:00,0.0
GHCND:USW00094789,DX90,2010-02-01T00:00:00,0.0
GHCND:USW00094789,DYFG,2010-02-01T00:00:00,11.0
GHCND:USW00094789,DYHF,2010-02-01T00:00:00,3.0
GHCND:USW00094789,DYNT,2010-02-01T00:00:00,20100207.0
GHCND:USW00094789,DYSD,2010-02-01T00:00:00,20100226.0
GHCND:USW00094789,DYSN,2010-02-01T00:00:00,20100210.0
GHCND:USW00094789,ADPT,2010-03-01T00:00:00,0.17
GHCND:USW00094789,ASLP,2010-03-01T00:00:00,1011.6
GHCND:USW00094789,ASTP,2010-03-01T00:00:00,1010.7
GHCND:USW00094789,AWBT,2010-03-01T00:00:00,4.96
GHCND:USW00094789,AWND,2010-03-01T00:00:00,13.6
GHCND:USW00094789,CDSD,2010-03-01T00:00:00,0.0
GHCND:USW00094789,CLDD,2010-03-01T00:00:00,0.0
GHCND:USW00094789,DP01,2010-03-01T00:00:00,13.0
GHCND:USW00094789,DP10,2010-03-01T00:00:00,9.0
GHCND:USW00094789,DP1X,2010-03-01T00:00:00,4.0
GHCND:USW00094789,DSND,2010-03-01T00:00:00,2.0
GHCND:USW00094789,DSNW,2010-03-01T00:00:00,0.0
GHCND:USW00094789,DT00,2010-03-01T00:00:00,0.0
GHCND:USW00094789,DT32,2010-03-01T00:00:00,2.0
GHCND:USW00094789,DX32,2010-03-01T00:00:00,0.0
GHCND:USW00094789,DX70,2010-03-01T00:00:00,1.0
GHCND:USW00094789,DX90,2010-03-01T00:00:00,0.0
GHCND:USW00094789,DYFG,2010-03-01T00:00:00,11.0
GHCND:USW00094789,DYHF,2010-03-01T00:00:00,1.0
GHCND:USW00094789,DYNT,2010-03-01T00:00:00,20100327.0
GHCND:USW00094789,DYSD,2010-03-01T00:00:00,20100301.0
GHCND:USW00094789,DYSN,2010-03-01T00:00:00,20100305.0
GHCND:USW00094789,ADPT,2010-04-01T00:00:00,3.18
GHCND:USW00094789,ASLP,2010-04-01T00:00:00,1012.9
GHCND:USW00094789,ASTP,2010-04-01T00:00:00,1012.0
GHCND:USW00094789,AWBT,2010-04-01T00:00:00,8.35
GHCND:USW00094789,AWND,2010-04-01T00:00:00,11.0
GHCND:USW00094789,CDSD,2010-04-01T00:00:00,4.0
GHCND:USW00094789,CLDD,2010-04-01T00:00:00,4.0
GHCND:USW00094789,DP01,2010-04-01T00:00:00,8.0
GHCND:USW00094789,DP10,2010-04-01T00:00:00,4.0
GHCND:USW00094789,DP1X,2010-04-01T00:00:00,1.0
GHCND:USW00094789,DSND,2010-04-01T00:00:00,0.0
GHCND:USW00094789,DSNW,2010-04-01T00:00:00,0.0
GHCND:USW00094789,DT00,2010-04-01T00:00:00,0.0
GHCND:USW00094789,DT32,2010-04-01T00:00:00,0.0
GHCND:USW00094789,DX32,2010-04-01T00:00:00,0.0
GHCND:USW00094789,DX70,2010-04-01T00:00:00,7.0
GHCND:USW00094789,DX90,2010-04-01T00:00:00,0.0
GHCND:USW00094789,DYFG,2010-04-01T00:00:00,10.0
GHCND:USW00094789,DYHF,2010-04-01T00:00:00,2.0
GHCND:USW00094789,DYNT,2010-04-01T00:00:00,20100428.0
GHCND:USW00094789,DYSD,2010-04-01T00:00:00,20100430.0
GHCND:USW00094789,DYSN,2010-04-01T00:00:00,20100430.0
GHCND:USW00094789,ADPT,2010-05-01T00:00:00,9.37
GHCND:USW00094789,ASLP,2010-05-01T00:00:00,1016.0
GHCND:USW00094789,ASTP,2010-05-01T00:00:00,1015.0
GHCND:USW00094789,AWBT,2010-05-01T00:00:00,13.12
GHCND:USW00094789,AWND,2010-05-01T00:00:00,10.3
GHCND:USW00094789,CDSD,2010-05-01T00:00:00,71.0
GHCND:USW00094789,CLDD,2010-05-01T00:00:00,67.0
GHCND:USW00094789,DP01,2010-05-01T00:00:00,7.0
GHCND:USW00094789,DP10,2010-05-01T00:00:00,3.0
GHCND:USW00094789,DP1X,2010-05-01T00:00:00,0.0
GHCND:USW00094789,DSND,2010-05-01T00:00:00,0.0
GHCND:USW00094789,DSNW,2010-05-01T00:00:00,0.0
GHCND:USW00094789,DT00,2010-05-01T00:00:00,0.0
GHCND:USW00094789,DT32,2010-05-01T00:00:00,0.0
GHCND:USW00094789,DX32,2010-05-01T00:00:00,0.0
GHCND:USW00094789,DX70,2010-05-01T00:00:00,22.0
GHCND:USW00094789,DX90,2010-05-01T00:00:00,1.0
GHCND:USW00094789,DYFG,2010-05-01T00:00:00,10.0
GHCND:USW00094789,DYHF,2010-05-01T00:00:00,2.0
GHCND:USW00094789,DYNT,2010-05-01T00:00:00,20100510.0
GHCND:USW00094789,DYSD,2010-05-01T00:00:00,20100531.0
GHCND:USW00094789,DYSN,2010-05-01T00:00:00,20100531.0
GHCND:USW00094789,ADPT,2010-06-01T00:00:00,15.21
GHCND:USW00094789,ASLP,2010-06-01T00:00:00,1012.5
GHCND:USW00094789,ASTP,2010-06-01T00:00:00,1011.6
GHCND:USW00094789,AWBT,2010-06-01T00:00:00,18.42
GHCND:USW00094789,AWND,2010-06-01T00:00:00,10.3
GHCND:USW00094789,CDSD,2010-06-01T00:00:00,361.0
GHCND:USW00094789,CLDD,2010-06-01T00:00:00,290.0
GHCND:USW00094789,DP01,2010-06-01T00:00:00,7.0
GHCND:USW00094789,DP10,2010-06-01T00:00:00,2.0
GHCND:USW00094789,DP1X,2010-06-01T00:00:00,0.0
GHCND:USW00094789,DSND,2010-06-01T00:00:00,0.0
GHCND:USW00094789,DSNW,2010-06-01T00:00:00,0.0
GHCND:USW00094789,DT00,2010-06-01T00:00:00,0.0
GHCND:USW00094789,DT32,2010-06-01T00:00:00,0.0
GHCND:USW00094789,DX32,2010-06-01T00:00:00,0.0
GHCND:USW00094789,DX70,2010-06-01T00:00:00,29.0
GHCND:USW00094789,DX90,2010-06-01T00:00:00,8.0
GHCND:USW00094789,DYFG,2010-06-01T00:00:00,11.0
GHCND:USW00094789,DYHF,2010-06-01T00:00:00,2.0
GHCND:USW00094789,DYNT,2010-06-01T00:00:00,20100609.0
GHCND:USW00094789,DYSD,2010-06-01T00:00:00,20100630.0
GHCND:USW00094789,DYSN,2010-06-01T00:00:00,20100630.0
GHCND:USW00094789,ADPT,2010-07-01T00:00:00,17.65
GHCND:USW00094789,ASLP,2010-07-01T00:00:00,1014.2
GHCND:USW00094789,ASTP,2010-07-01T00:00:00,1013.3
GHCND:USW00094789,AWBT,2010-07-01T00:00:00,20.93
GHCND:USW00094789,AWND,2010-07-01T00:00:00,9.8
GHCND:USW00094789,CDSD,2010-07-01T00:00:00,849.0
GHCND:USW00094789,CLDD,2010-07-01T00:00:00,488.0
GHCND:USW00094789,DP01,2010-07-01T00:00:00,6.0
GHCND:USW00094789,DP10,2010-07-01T00:00:00,4.0
GHCND:USW00094789,DP1X,2010-07-01T00:00:00,0.0
GHCND:USW00094789,DSND,2010-07-01T00:00:00,0.0
GHCND:USW00094789,DSNW,2010-07-01T00:00:00,0.0
GHCND:USW00094789,DT00,2010-07-01T00:00:00,0.0
GHCND:USW00094789,DT32,2010-07-01T00:00:00,0.0
GHCND:USW00094789,DX32,2010-07-01T00:00:00,0.0
GHCND:USW00094789,DX70,2010-07-01T00:00:00,31.0
GHCND:USW00094789,DX90,2010-07-01T00:00:00,13.0
GHCND:USW00094789,DYFG,2010-07-01T00:00:00,8.0
GHCND:USW00094789,DYNT,2010-07-01T00:00:00,20100702.0
GHCND:USW00094789,DYSD,2010-07-01T00:00:00,20100731.0
GHCND:USW00094789,DYSN,2010-07-01T00:00:00,20100731.0
GHCND:USW00094789,DYTS,2010-07-01T00:00:00,6.0
GHCND:USW00094789,ADPT,2010-08-01T00:00:00,16.82
GHCND:USW00094789,ASLP,2010-08-01T00:00:00,1015.4
GHCND:USW00094789,ASTP,2010-08-01T00:00:00,1014.5
GHCND:USW00094789,AWBT,2010-08-01T00:00:00,19.74
GHCND:USW00094789,AWND,2010-08-01T00:00:00,9.4
GHCND:USW00094789,CDSD,2010-08-01T00:00:00,1197.0
GHCND:USW00094789,CLDD,2010-08-01T00:00:00,348.0
GHCND:USW00094789,DP01,2010-08-01T00:00:00,7.0
GHCND:USW00094789,DP10,2010-08-01T00:00:00,5.0
GHCND:USW00094789,DP1X,2010-08-01T00:00:00,1.0
GHCND:USW00094789,DSND,2010-08-01T00:00:00,0.0
GHCND:USW00094789,DSNW,2010-08-01T00:00:00,0.0
GHCND:USW00094789,DT00,2010-08-01T00:00:00,0.0
GHCND:USW00094789,DT32,2010-08-01T00:00:00,0.0
GHCND:USW00094789,DX32,2010-08-01T00:00:00,0.0
GHCND:USW00094789,DX70,2010-08-01T00:00:00,31.0
GHCND:USW00094789,DX90,2010-08-01T00:00:00,8.0
GHCND:USW00094789,DYFG,2010-08-01T00:00:00,4.0
GHCND:USW00094789,DYNT,2010-08-01T00:00:00,20100828.0
GHCND:USW00094789,DYSD,2010-08-01T00:00:00,20100831.0
GHCND:USW00094789,DYSN,2010-08-01T00:00:00,20100831.0
GHCND:USW00094789,DYTS,2010-08-01T00:00:00,2.0
GHCND:USW00094789,ADPT,2010-09-01T00:00:00,13.72
GHCND:USW00094789,ASLP,2010-09-01T00:00:00,1014.8
GHCND:USW00094789,ASTP,2010-09-01T00:00:00,1014.0
GHCND:USW00094789,AWBT,2010-09-01T00:00:00,16.93
GHCND:USW00094789,AWND,2010-09-01T00:00:00,11.4
GHCND:USW00094789,CDSD,2010-09-01T00:00:00,1370.0
GHCND:USW00094789,CLDD,2010-09-01T00:00:00,173.0
GHCND:USW00094789,DP01,2010-09-01T00:00:00,8.0
GHCND:USW00094789,DP10,2010-09-01T00:00:00,8.0
GHCND:USW00094789,DP1X,2010-09-01T00:00:00,1.0
GHCND:USW00094789,DSND,2010-09-01T00:00:00,0.0
GHCND:USW00094789,DSNW,2010-09-01T00:00:00,0.0
GHCND:USW00094789,DT00,2010-09-01T00:00:00,0.0
GHCND:USW00094789,DT32,2010-09-01T00:00:00,0.0
GHCND:USW00094789,DX32,2010-09-01T00:00:00,0.0
GHCND:USW00094789,DX70,2010-09-01T00:00:00,29.0
GHCND:USW00094789,DX90,2010-09-01T00:00:00,2.0
GHCND:USW00094789,DYFG,2010-09-01T00:00:00,10.0
GHCND:USW00094789,DYNT,2010-09-01T00:00:00,20100921.0
GHCND:USW00094789,DYSD,2010-09-01T00:00:00,20100930.0
GHCND:USW00094789,DYSN,2010-09-01T00:00:00,20100930.0
GHCND:USW00094789,DYTS,2010-09-01T00:00:00,5.0
GHCND:USW00094789,ADPT,2010-10-01T00:00:00,6.72
GHCND:USW00094789,ASLP,2010-10-01T00:00:00,1012.2
GHCND:USW00094789,ASTP,2010-10-01T00:00:00,1011.3
GHCND:USW00094789,AWBT,2010-10-01T00:00:00,10.81
GHCND:USW00094789,AWND,2010-10-01T00:00:00,12.1
GHCND:USW00094789,CDSD,2010-10-01T00:00:00,1371.0
GHCND:USW00094789,CLDD,2010-10-01T00:00:00,1.0
GHCND:USW00094789,DP01,2010-10-01T00:00:00,11.0
GHCND:USW00094789,DP10,2010-10-01T00:00:00,5.0
GHCND:USW00094789,DP1X,2010-10-01T00:00:00,1.0
GHCND:USW00094789,DSND,2010-10-01T00:00:00,0.0
GHCND:USW00094789,DSNW,2010-10-01T00:00:00,0.0
GHCND:USW00094789,DT00,2010-10-01T00:00:00,0.0
GHCND:USW00094789,DT32,2010-10-01T00:00:00,0.0
GHCND:USW00094789,DX32,2010-10-01T00:00:00,0.0
GHCND:USW00094789,DX70,2010-10-01T00:00:00,8.0
GHCND:USW00094789,DX90,2010-10-01T00:00:00,0.0
GHCND:USW00094789,DYFG,2010-10-01T00:00:00,9.0
GHCND:USW00094789,DYHF,2010-10-01T00:00:00,2.0
GHCND:USW00094789,DYNT,2010-10-01T00:00:00,20101031.0
GHCND:USW00094789,DYSD,2010-10-01T00:00:00,20101031.0
GHCND:USW00094789,DYSN,2010-10-01T00:00:00,20101031.0
GHCND:USW00094789,ADPT,2010-11-01T00:00:00,0.57
GHCND:USW00094789,ASLP,2010-11-01T00:00:00,1018.9
GHCND:USW00094789,ASTP,2010-11-01T00:00:00,1017.9
GHCND:USW00094789,AWBT,2010-11-01T00:00:00,5.34
GHCND:USW00094789,AWND,2010-11-01T00:00:00,11.9
GHCND:USW00094789,CDSD,2010-11-01T00:00:00,1371.0
GHCND:USW00094789,CLDD,2010-11-01T00:00:00,0.0
GHCND:USW00094789,DP01,2010-11-01T00:00:00,9.0
GHCND:USW00094789,DP10,2010-11-01T00:00:00,3.0
GHCND:USW00094789,DP1X,2010-11-01T00:00:00,0.0
GHCND:USW00094789,DSND,2010-11-01T00:00:00,0.0
GHCND:USW00094789,DSNW,2010-11-01T00:00:00,0.0
GHCND:USW00094789,DT00,2010-11-01T00:00:00,0.0
GHCND:USW00094789,DT32,2010-11-01T00:00:00,1.0
GHCND:USW00094789,DX32,2010-11-01T00:00:00,0.0
GHCND:USW00094789,DX70,2010-11-01T00:00:00,0.0
GHCND:USW00094789,DX90,2010-11-01T00:00:00,0.0
GHCND:USW00094789,DYFG,2010-11-01T00:00:00,6.0
GHCND:USW00094789,DYNT,2010-11-01T00:00:00,20101129.0
GHCND:USW00094789,DYSD,2010-11-01T00:00:00,20101130.0
GHCND:USW00094789,DYSN,2010-11-01T00:00:00,20101125.0
GHCND:USW00094789,DYTS,2010-11-01T00:00:00,1.0
GHCND:USW00094789,ADPT,2010-12-01T00:00:00,-7.38
GHCND:USW00094789,ASLP,2010-12-01T00:00:00,1011.4
GHCND:USW00094789,ASTP,2010-12-01T00:00:00,1010.4
GHCND:USW00094789,AWBT,2010-12-01T00:00:00,-1.95
GHCND:USW00094789,AWND,2010-12-01T00:00:00,15.0
GHCND:USW00094789,CDSD,2010-12-01T00:00:00,1371.0
GHCND:USW00094789,CLDD,2010-12-01T00:00:00,0.0
GHCND:USW00094789,DP01,2010-12-01T00:00:00,5.0
GHCND:USW00094789,DP10,2010-12-01T00:00:00,4.0
GHCND:USW00094789,DP1X,2010-12-01T00:00:00,1.0
